Total Label: 5065


Location			Name								Type
803d47a8			mg_wumpa_ix								Data Label
803d228c			mechlight_distance								Data Label
80127914			CMD_TUNA								Data Label
803d4684			SmokeyFinished								Data Label
80166a80			@153								Data Label
803d3f68			RunQueueBits								Data Label
8012fbe8			FireBossBangAnim								Data Label
803d4ac4			PickupTerr								Data Label
803d5158			pio2_3								Data Label
803d418c			__AXCallbackAuxB								Data Label
801197f8			D3DDIRTYFROMRENDERSTATE								Data Label
803d28c4			mg_player_rng								Data Label
8016bb20			drain_wawa_pos								Data Label
803d2d0c			BigRad								Data Label
8024cad8			Character								Data Label
8012e268			GliderAnim								Data Label
803d2388			cp_goto								Data Label
8011f904			D3DDIRTYFROMTEXTURESTATE								Data Label
803d44cc			app_tbset								Data Label
803d3370			GS_EnableSpecularFlag								Data Label
8024c8b4			CRemap								Data Label
80124524			CMD_ROOFSCORPION								Data Label
803d2f40			RockPanelRotIncY								Data Label
803d30b4			alloclight								Data Label
8013f930			SfxTabSMOKEY								Data Label
803327d0			BuggyDataMax								Data Label
80144280			tPRESSxTOCONTINUE								Data Label
8012f318			DiverAnim								Data Label
80144d4c			RockPanel								Data Label
80143d40			tLANGUAGE								Data Label
803d2788			SHEIGHT								Data Label
803d2900			mg_scoregibbercntx								Data Label
80167820			switchdataD_80167820								Data Label
801262ac			CMD_NINJASWORD								Data Label
8011f0b8			D3DTEXTUREDIRECTENCODE								Data Label
803d3270			XboxEffectSystemInitialised								Data Label
80160e10			Motor								Data Label
803d2aa8			DIVPANEL3DX								Data Label
80345680			TornadoList								Data Label
803d2784			PHYSICAL_SCREEN_Y								Data Label
803d3fc4			PausingFlag								Data Label
803d3f80			Prepared								Data Label
803d33ac			isquad								Data Label
803d468c			mg_wumpatot								Data Label
803250a8			probepos								Data Label
8010acb4			D3DDIRTYFROMTEXTURESTATE								Data Label
8013721c			DroidVoidModelList								Data Label
803d22b8			CAMSTOPFAR								Data Label
80330aac			JeepCamPosTween								Data Label
803d2518			level_part_2								Data Label
803d450c			rsfxcount								Data Label
8021abcc			Curr								Data Label
803d2c94			MOSENGPITCH								Data Label
80167634			@373								Data Label
801372cc			CrunchTimeModelList								Data Label
803d34b4			c_one								Data Label
80169ee0			GXNtsc480IntDf								Data Label
8021aa50			ResetAlarm								Data Label
803d2a44			PANELCANVASZ								Data Label
803d1cfc			CV_LIGHT2_COLOR								Data Label
803d2580			INPUTSX								Data Label
803d4890			GliderFrameCounter								Data Label
803d49d4			edgra_clumps_used								Data Label
8012e8c8			MechAnim								Data Label
803d3978			gx								Data Label
803d2948			iss3cmp								Data Label
803d5900			S3								Data Label
803d2500			LBIT								Data Label
803d2998			FIREENGINERUNNINGJUMPPAUSEFRAME								Data Label
803d4494			vtog_angle								Data Label
803d2a58			CRATETXTSX								Data Label
803d38b8			__OSArenaLo								Data Label
803d4874			BazookaIconOn								Data Label
803d4118			buffer								Data Label
80345ce0			jontorn								Data Label
803d4138			__AR_InternalSize								Data Label
8011e670			D3DDIRTYFROMRENDERSTATE								Data Label
803d4ba4			GS_CurrentMaterialEmissivergba								Data Label
803d3330			cufps								Data Label
803d237c			CRATEEXPLOSIONFRAMES								Data Label
80161cac			REMAP_H2OHNO								Data Label
803b89e0			mtx_array2HGobjRndrDwa								Data Label
801656f0			indebugger								Data Label
80144d1c			FireFlyStart								Data Label
80166970			@40								Data Label
803d229c			CAMTOCRASH1								Data Label
803d4a18			edobj_copy_mode								Data Label
803d5644			@100								Data Label
803d5800			@154								Data Label
8011c3f0			D3DTEXTUREDIRECTENCODE								Data Label
801338e8			Space_EARTH_4CRYSTALS_PlayList								Data Label
803327e0			BuggyData								Data Label
8010ac18			D3DTEXTUREDIRECTENCODE								Data Label
803d2c58			WBIntroDestTiltX								Data Label
803d3c98			FireBleepTimer.175								Data Label
803d47f0			race_finished								Data Label
80161dc4			REMAP_ICESTATIONBANDICOOT								Data Label
803d29f0			gate_bits								Data Label
803d38fc			@63								Data Label
80133554			GameCut_EARTH_CORTEX								Data Label
803d22cc			LOGOCAMZ								Data Label
803d56d0			@178								Data Label
80210f48			captxt								Data Label
803d38f0			@61								Data Label
8010d5e0			D3DTEXTUREDIRECTENCODE								Data Label
803d4be0			__SDATA2_START__								Data Label
803d4618			start_time								Data Label
80318de4			vTEMP								Data Label
8013c91c			ZVec								Data Label
803d30a0			haze_theta.165								Data Label
803d22b0			CAMHEIGHT								Data Label
803d23dc			credit_speed								Data Label
8011caf8			D3DSIMPLERENDERSTATEENCODE								Data Label
8011d014			D3DDIRTYFROMTEXTURESTATE								Data Label
801350a0			GameCut_WEATHER_2CRYSTALS								Data Label
80144058			tFRUITBAZOOKATEXT								Data Label
803d1d8c			matWorldViewProj								Data Label
8012f018			RickShawAnim								Data Label
803d3cfc			NuRndrFogNear								Data Label
80143d58			tLEVEL								Data Label
8030860c			Crate								Data Label
8012ec10			NitroExclamationCrateAnim								Data Label
803d2e64			FIREFLYVICDANCETIME								Data Label
80143a58			tCHECK								Data Label
8013c630			WesternEnemyStarts								Data Label
803d22c4			LOGOCAMX								Data Label
803d2a6c			BONUSWUMPATXTSX								Data Label
803d3c3c			ctmtl								Data Label
803d3490			newCV_LIGHTS_OFF								Data Label
8012f288			CrashScubaAnim								Data Label
801664ac			@110								Data Label
803d305c			num_glass_inst								Data Label
803d2a1c			PANELSINKX								Data Label
803d2e24			WBDISTANCETIME								Data Label
803d4194			__AXContextAuxB								Data Label
803d29a0			CARPETTIME								Data Label
803d4748			POINTCOUNT								Data Label
80134af8			Space_FIRE_BOSS_PlayList								Data Label
8016679c			@33								Data Label
803d24b0			gameover_hack								Data Label
803d4868			ExtroAngOff								Data Label
8012a920			weather_srcpos								Data Label
8010589c			D3DDIRTYFROMTEXTURESTATE								Data Label
803d4b50			water_copy_mtl								Data Label
80165de8			@50								Data Label
80215050			__MIXChannel								Data Label
803d40e0			__AIS_Callback								Data Label
803d287c			bgloadchr								Data Label
80141fd0			SfxTabOIDS								Data Label
803d25d0			dme_sx								Data Label
803d33fc			pSPTable2								Data Label
80144658			tOTHERMARKET								Data Label
803d322c			sys_tb								Data Label
803d3138			hgobj_enabled.231								Data Label
803d4adc			glass_mtl								Data Label
80210b48			txt								Data Label
803d4090			shdwChangeMode								Data Label
803d4444			bonus_finish_frame								Data Label
803d2b38			sfxcount_global								Data Label
803d2650			boss_dead								Data Label
803d4ab0			terrhitflags								Data Label
803d4450			bonus_life_delay								Data Label
8013c4d0			helibits								Data Label
8012fea0			NuclearLabGuyAnim								Data Label
803d2ba0			CRASHTEROIDSZOFFAVOL								Data Label
8010a708			D3DTEXTUREDIRECTENCODE								Data Label
803d2a00			RINGPULL								Data Label
803d4a8c			ecastroofnum								Data Label
803d2e78			PanSeekSpeed								Data Label
803d4c78			pi_o_4								Data Label
803d4820			Level_GliderRadius								Data Label
803d3e04			fiReq								Data Label
803d30bc			currentlight1								Data Label
803d4778			AtmosphericPressureHackedZ								Data Label
803d24f0			FINISHRADIUSHUB								Data Label
8015f7c4			debtab								Data Label
803d3440			ed_loc								Data Label
80134030			GameCut_WATER_1STLEVEL								Data Label
80109668			D3DSIMPLERENDERSTATEENCODE								Data Label
803d3d70			g_pddsZBuffer								Data Label
803d4bf4			Yellow								Data Label
803d3000			edpp_refrotz								Data Label
803d4a54			terraincnt								Data Label
803d32a0			nchecks								Data Label
803d3c0c			spaceuka_angle								Data Label
80166720			@11								Data Label
8012eb50			MetalArrowCrateAnim								Data Label
80136da4			AvalancheChaseData								Data Label
801617ac			__MIXPanTableR								Data Label
80306d6c			LockCrate								Data Label
803d40e8			__CallbackStack								Data Label
8011a670			D3DSIMPLERENDERSTATEENCODE								Data Label
803d4940			RumbleBumpVal								Data Label
80160864			ang								Data Label
8016a4bc			GXEurgb60Hz480IntAa								Data Label
803d332c			GS_IsNewFrame								Data Label
803d2d44			WeatherCamScaleX								Data Label
803d4e78			one								Data Label
803d4ba8			GS_CurrentMaterialEmissiveGX								Data Label
803d4340			plr_crates								Data Label
8021dba0			__AXCommandList								Data Label
8033ec2c			PlrEvent								Data Label
8013ce28			mg_gopos								Data Label
8012efb8			GunBoatAnimDingo								Data Label
8011b808			D3DDIRTYFROMRENDERSTATE								Data Label
80129e04			punchpos1								Data Label
80137568			SpaceModelList								Data Label
803af1e0			mtx_arrayHGobj								Data Label
8011c400			D3DDIRTYFROMRENDERSTATE								Data Label
8033f15c			carpet_lights								Data Label
80350e7c			BoltList								Data Label
80210258			winst								Data Label
803d48a0			AtlasWhackValue								Data Label
803d3dac			DefaultFifoObj								Data Label
803d2618			tt_flash								Data Label
80214b60			TexStages								Data Label
803d33cc			maxstage.189								Data Label
8035253c			BoltMtxB								Data Label
8012eb80			AkuAkuCrateAnim								Data Label
803d2c04			TORNSeekTiltXTimeNonZero								Data Label
80233248			InputBuffer								Data Label
801607f8			forig								Data Label
8012d4d0			HoloCortexAnim								Data Label
8012ef88			GunBoatAnimNGin								Data Label
8012e610			FlamingoAnim								Data Label
803d34c0			start2								Data Label
803d2320			flash_crate								Data Label
80166ccc			@801								Data Label
80393624			ScaleTerrainT1								Data Label
802149e4			GS_ViewPort								Data Label
8011fb90			D3DDIRTYFROMTEXTURESTATE								Data Label
801677ec			@835								Data Label
8011cf88			D3DDIRTYFROMRENDERSTATE								Data Label
803d4a40			NuWindGCount								Data Label
803d266c			PYROTILTX								Data Label
80214258			datfiles								Data Label
803d28cc			mg_player_spin								Data Label
803d4780			snowflake_scale								Data Label
8011ce30			D3DSIMPLERENDERSTATEENCODE								Data Label
8033f0ec			jeeptyrepos								Data Label
803c8918			NuSndLoopInfo								Data Label
80136d3c			AirshipModelList								Data Label
80318ebc			Mask								Data Label
80169800			@17								Data Label
803d4578			font3d_xright								Data Label
8013cf70			SnowBoardMoveInfo								Data Label
80166dc4			@803								Data Label
803d49f4			edgra_cam_ay								Data Label
803d4070			PreCB								Data Label
8015f9f0			gencodetab								Data Label
80133e40			GameCut_EARTH_AKUAKU								Data Label
803d4950			AtlasEmbedd								Data Label
80319160			tumble_oldpos								Data Label
803d2ae0			TT_MESSAGEY								Data Label
803ccd24			GS_ViewIdentity								Data Label
803d3f48			ResetCallback								Data Label
801657e1			pausetext								Data Label
803d2360			plr_invisibility_time								Data Label
80167580			@341								Data Label
803d31c0			loadscreenfade								Data Label
80214ed0			__block_for_prep_callback								Data Label
803d3f6c			RunQueueHint								Data Label
801370c8			WizardsAndLizardsModelList								Data Label
803d2bfc			CRASHTEROIDSSeekTiltXTimeNonZero								Data Label
803d4ef0			S3								Data Label
803d41e4			__AXDebugSteppingMode								Data Label
803d44f8			gamecut_hold								Data Label
803d259c			TimingBarSet								Data Label
8011b894			D3DDIRTYFROMTEXTURESTATE								Data Label
80167cb8			@339								Data Label
80142420			SfxTabICE								Data Label
803d2fbc			debris_sfx								Data Label
801236f8			D3DSIMPLERENDERSTATEENCODE								Data Label
8010da50			D3DTEXTUREDIRECTENCODE								Data Label
80169ce0			switchdataD_80169ce0								Data Label
803d4110			max_wait								Data Label
803d4abc			testlock								Data Label
80162c61			BackupHeader								Data Label
80166530			@59								Data Label
803d5838			@24								Data Label
803d40cc			CmdTypeAndStatus								Data Label
803d3f90			BootInfo								Data Label
803b71e0			scale_arrayHGobjEval2								Data Label
8011cc40			D3DTEXTUREDIRECTENCODE								Data Label
8013c498			mechbits								Data Label
803d4440			save_bonus_crates_destroyed								Data Label
803d26ac			FIREBOSSTURNFROMMECH								Data Label
803d423c			t1								Data Label
8012d758			AngelWingsAnim								Data Label
803d257c			NAMEENTRYSIZE								Data Label
8016ac60			D35								Data Label
803d2a24			PANELSINKZ								Data Label
80136d08			H2OhNoModelList								Data Label
803d3ec4			tdpIcons.175								Data Label
803d3a18			@457								Data Label
8016cf44			csmtx								Data Label
803d42fc			SheetImage								Data Label
8016bdec			scene_insts								Data Label
803d4700			ResetJeepCamera								Data Label
803d3d94			vibration								Data Label
803d39d8			SendCount								Data Label
803d3fd4			Canceling								Data Label
801e11f8			vtx.282								Data Label
8012b40c			CMD_SPACEPYRO								Data Label
8010da60			D3DDIRTYFROMRENDERSTATE								Data Label
803d5758			@167								Data Label
8010e6c4			D3DDIRTYFROMTEXTURESTATE								Data Label
801697e0			@16								Data Label
803d2374			CHANGERVOLUME								Data Label
803d4ce0			zero								Data Label
803d48b4			RumbleCamTween								Data Label
803d28a8			maxfallspd								Data Label
803d32e0			DemoStatClocks								Data Label
80134390			Space_WATER_BOSS_PlayList								Data Label
803d48fc			EarthBossVortexOpen								Data Label
80167698			@374								Data Label
803d5768			@166								Data Label
803d572c			@128								Data Label
801698f8			@269								Data Label
80160c74			def_cols								Data Label
80137570			OutroModelList								Data Label
803d47c0			MAXVPSIZEY								Data Label
80136d58			CompactorReactorModelList								Data Label
8016a1b0			GXPal264Ds								Data Label
803d23cc			glass_phase								Data Label
803d4d98			cp_l								Data Label
802149fc			GS_LightList								Data Label
803d4844			FreeEnemyGliderBulletNum								Data Label
8012113c			D3DDIRTYFROMTEXTURESTATE								Data Label
8011e0c8			D3DDIRTYFROMRENDERSTATE								Data Label
803d2560			i_maskfeathers								Data Label
803d2f6c			DOTSCALE								Data Label
8013c928			creditsang								Data Label
803d252c			in_finish_range								Data Label
80129258			CMD_CRYSTAL								Data Label
803d42b0			MTRCallback								Data Label
80144ce0			WBMASKRIGHT								Data Label
803d3fdc			ResumeFromHere								Data Label
803d3d6c			g_pddsBackBuffer								Data Label
80319148			vtog_newpos								Data Label
801369ec			Font3DAccentTab								Data Label
803023e4			Game								Data Label
8012ee38			PigAnim								Data Label
8010e904			D3DDIRTYFROMTEXTURESTATE								Data Label
803d44d4			ChrisJointList								Data Label
803ccb30			temp								Data Label
803d46ec			FireBossHealth								Data Label
803d3e40			__DTKPosition								Data Label
803d4320			water_attack_on								Data Label
803d3be4			drain_wawa_xrot								Data Label
80330ac4			FireBossPosition								Data Label
800d5ec0			ExHook								Data Label
8012c0dc			BOSSCAMPOS2								Data Label
803d3120			rndr_blend_shape_deformer_wt_cnt								Data Label
803d4c20			pS1								Data Label
803d1ecc			matViewProj								Data Label
803d3108			IsObjLit								Data Label
801442e0			tSAVE								Data Label
803d4a50			curPickInst								Data Label
8032bf94			TimeTrialTimer								Data Label
803d27fc			IsLoadingScreen								Data Label
8012d9c8			MonkeyAnim								Data Label
803d2f20			NumRockPanel								Data Label
80120f58			D3DSIMPLERENDERSTATEENCODE								Data Label
803d3d74			g_pddsStencilBuffer								Data Label
803d4620			tt_sx								Data Label
803d2894			bgload_bumppos								Data Label
803d2604			check_duration								Data Label
803d2ed0			AMBIENTVOL								Data Label
80161d04			REMAP_TORNADOALLEY								Data Label
803d27e8			ShadowMatBodge								Data Label
803d51d0			twon24								Data Label
803d2898			bgload_objspd								Data Label
803d2ed8			WBINTROLOOKAHEAD								Data Label
80169dc8			@181								Data Label
80136e14			CoralCanyonModelList								Data Label
803d26c8			FIREVOL								Data Label
8012ebb0			CheckpointCrateAnim								Data Label
803d4738			WaterTimer								Data Label
803d5d50			two8								Data Label
8033f110			carpet_oldpos								Data Label
80144448			tCONFIRMDELETE								Data Label
80137248			RumbleInTheRoksModelList								Data Label
801338c8			GameCut_EARTH_2CRYSTALS								Data Label
803d2bf8			CRASHTEROIDSSeekTiltXTimeZero								Data Label
8016626c			@388								Data Label
803d47fa			arrow_yrot								Data Label
80167780			@16								Data Label
8012fa38			SkierAnim								Data Label
803d3044			ropev2								Data Label
803ae748			depthTexture								Data Label
803d49a4			edanim_cam_ax								Data Label
803d325c			launchedfromtitle								Data Label
803d4058			LastCommandWasRead								Data Label
803d458c			font3d_ybottom								Data Label
803d3194			watervisible								Data Label
803d3998			GXTexMode1Ids								Data Label
8012f7f8			MosquitoAnim								Data Label
803d3fa8			__DVDThreadQueue								Data Label
803d4550			masky								Data Label
803d38c0			@32								Data Label
803d3fd0			CurrCommand								Data Label
803d34bc			MaxSkinVerts								Data Label
803d30d8			nummtls								Data Label
803d4bc8			CV_SKINMTX								Data Label
803d2718			loadsave_frame								Data Label
80129e64			CMD_WATERCRUNCH								Data Label
801cf118			vtx.263								Data Label
801676e8			@375								Data Label
803d22e8			tOutPlatRail								Data Label
803d4958			TempAngX								Data Label
80325260			Award								Data Label
803d2cbc			MOSENGRUMBLE								Data Label
80355788			freechunkcontrols								Data Label
802110c8			blkinfo								Data Label
803d2a34			PANELBLIMPZ								Data Label
803d2280			crunchtime_phase4tab								Data Label
8012ea90			MammothAnim								Data Label
803d57f8			@132								Data Label
803d4834			Level_DeadTime								Data Label
803d3c80			fade_mtl								Data Label
803d2dc4			BossYAdj								Data Label
803d2b6c			WBIntroTweenTime								Data Label
80306d94			MarkerCrate								Data Label
803d4ed8			half								Data Label
80167d64			__AXMixCycles								Data Label
8011a42c			D3DSIMPLERENDERSTATEENCODE								Data Label
80133498			csd_outro2								Data Label
803d49fc			edgra_instance_type								Data Label
803d3084			WATERBOSSGLASSMIX								Data Label
803d3418			frame.12								Data Label
80165c64			@119								Data Label
8011a16c			D3DDIRTYFROMTEXTURESTATE								Data Label
8032d3f4			AshesMechOutPos								Data Label
803d4b84			shadowmaterial								Data Label
80167484			@263								Data Label
803d4b98			GS_CurrentMaterialDiffuse								Data Label
803d41c8			__AXOutFrame								Data Label
803d26c0			FIREBOSSRUNAHEADTIMER								Data Label
80144100			tSPEEDSHOES								Data Label
8013c4ec			jeepbits								Data Label
8013c88c			titledir								Data Label
80225a00			__AXITD								Data Label
803d58ec			C5								Data Label
8013739c			CrateBallsOfFireModelList								Data Label
8010f8d8			D3DDIRTYFROMRENDERSTATE								Data Label
803d4744			WID								Data Label
803d2424			music_volume								Data Label
803d3be8			drain_ang								Data Label
801448e0			tGAMEINST								Data Label
80167904			CommandNames								Data Label
803d2a38			PANELBLIMPSCALE								Data Label
803d3d97			surround								Data Label
803d5d5c			two25								Data Label
801b8918			stenitem								Data Label
803d4474			tumble_action								Data Label
8011c074			D3DDIRTYFROMTEXTURESTATE								Data Label
803d1fdc			CV_SHADER_PARAMS								Data Label
803d4c60			qS4								Data Label
803d3e4c			__DTKShutdownFlag								Data Label
80136f5c			TheGauntletModelList								Data Label
803d433c			temp_xrot								Data Label
803d2da0			SINKTORPVOL								Data Label
803d4bb4			byteNotUsed								Data Label
801097c0			D3DDIRTYFROMRENDERSTATE								Data Label
803d3ed0			initialized.10								Data Label
803d2754			memcard_loadresult_delay								Data Label
803d2920			camrotscale								Data Label
803d3fb4			tmp								Data Label
8035257c			WeatherBossIntroSpline								Data Label
8016a870			c2r$71								Data Label
803d3c20			buglight_fade								Data Label
803d2c8c			GLIDERHITSOUNDOTHERID								Data Label
80134958			Space_FIRE_4CRYSTALS_PlayList								Data Label
803d2440			gauntletWobble								Data Label
80125c40			CMD_MONKEYBANANA								Data Label
80161ce4			REMAP_FORCEOFNATURE								Data Label
80167944			@95								Data Label
803d2b5c			last_testglobalsfx								Data Label
8016c2ec			mtxLOCATOR.172								Data Label
803d403c			WorkAroundType								Data Label
803d2598			ShowPlayerCoordinate								Data Label
8013f7e0			SfxTabOHNO								Data Label
80232a20			__CARDDiskNone								Data Label
8013707c			FahrenheitFrenzyModelList								Data Label
8036ea20			ObjectPath								Data Label
8010984c			D3DDIRTYFROMTEXTURESTATE								Data Label
80136e40			ArcticAnticsModelList								Data Label
803d293c			bgloadgibbercnty								Data Label
803d3350			gs_vblankcallback								Data Label
8016caa0			Ret.168								Data Label
80143ce0			tSOUND								Data Label
80104e28			D3DDIRTYFROMRENDERSTATE								Data Label
803d4984			edanim_nearest_param_id								Data Label
8034a62c			GliderIntroInterest								Data Label
80167198			@816								Data Label
803d3468			MaxVertexCount								Data Label
80167c34			@336								Data Label
8012b484			CMD_SPACELOLO								Data Label
803d4688			SmokeyPosition								Data Label
80166130			@362								Data Label
803d4478			tumble_duration								Data Label
8016ab48			@464								Data Label
80161dd8			REMAP_CORTEXVORTEX								Data Label
803d234c			CRATEGRAVITY								Data Label
803d4448			bonus_crates_wait								Data Label
8010e638			D3DDIRTYFROMRENDERSTATE								Data Label
80354470			trail								Data Label
803d32b0			do_copy								Data Label
803d2e70			MatchTimer								Data Label
803d2a0c			PANELCRUNCHX								Data Label
803d3178			dynamicWaterDropMaxScale								Data Label
803d5168			init_jk								Data Label
80166b84			@798								Data Label
803d44ec			cutang_FRONTEND								Data Label
803d5690			@117								Data Label
8012d830			PenguinPAnim								Data Label
8011d6b8			D3DSIMPLERENDERSTATEENCODE								Data Label
80321690			deb3								Data Label
803d306c			glass_mix_speed								Data Label
803d2b94			BumpAmount								Data Label
803d4628			sapphire_relics								Data Label
80142300			SfxTabKNIGHT								Data Label
803d4298			DrawDone								Data Label
803d4170			__ARQCallbackHi								Data Label
803d4800			CurSfxTabLocal								Data Label
80144790			tCORRUPTDATA								Data Label
803d2874			pause_rndr_on								Data Label
8012dba8			DragonflyAnim								Data Label
80129b1c			CMD_FLYINGPROBE								Data Label
801652c0			Shaders								Data Label
8011b39c			D3DDIRTYFROMTEXTURESTATE								Data Label
803d43dc			temp_pGroup								Data Label
803d3144			ntex								Data Label
803d2cf4			HovaY								Data Label
80302a58			GlobalTimer								Data Label
8011ed98			D3DDIRTYFROMRENDERSTATE								Data Label
80166390			@93								Data Label
803d3158			ntal_free								Data Label
803d5908			S5								Data Label
803d3f78			SaveStart								Data Label
803d3184			dynamicWaterTurbulenceStrength								Data Label
801697e0			...data.0								Data Label
803d4ea8			C1								Data Label
80144a54			ExhaustPosB								Data Label
8011fd34			D3DTEXTUREDIRECTENCODE								Data Label
803d455c			rockpt								Data Label
803d2e40			CHESTATTACKAVOL								Data Label
8013f9f0			SfxTabREACTOR								Data Label
80319360			CutTimer								Data Label
8012fcf0			MineTubAnim								Data Label
803d41b8			__AXCommandListPosition								Data Label
80211048			name.171								Data Label
803d2358			JUMPONCRATEBREAKSPEED								Data Label
803d449c			temp_lev_flags								Data Label
801698c8			@268								Data Label
803d45fc			point_delay								Data Label
8013a4f8			GDeb								Data Label
803d2d84			ExtroChangeVal								Data Label
8012e1d8			BeeAnim								Data Label
8020ec58			xdeflabtab								Data Label
8034a644			ExtroStillCamPos								Data Label
803d4ae4			glass_mtl_blendskin2								Data Label
803d3904			@65								Data Label
803d2f90			OldBase.162								Data Label
8012fdb0			ClockAnim								Data Label
80167968			@96								Data Label
803d2ad0			PAUSEINFOY								Data Label
803d2a86			PANELCRATEYROT								Data Label
803d4698			plr_crystal								Data Label
803d2300			MAXCLOUDSIZE								Data Label
801330e4			csc_titles								Data Label
803d4824			Level_GliderFloor								Data Label
