	Location		Label

	00100008		ENTRYPOINT
	001000b8		_exit
	001000c0		_root
	001000c8		NuFileSifLoadModule
	001002c8		NuFileOpen
	00100598		NuFileSeek
	00100710		NuFileSize
	00100928		NuFileLoad
	00100a78		NuFileLoadBuffer
	00100cf8		NuFileRead
	00100fb0		NuFileWriteStringV
	00101028		NuFileBeginBlkRead
	001012d8		NuFileEndBlkRead
	00101458		NuFileBeginBlkWrite
	00101638		NuFileEndBlkWrite
	00101850		NuFileWriteAddress
	001019c0		NuFileSetAddress
	00101b58		NuFileAlign
	00101ca0		NuDatFileLoadBuffer
	00102138		NuDatFileOpen
	00102360		NuDatClose
	00102468		NuDatOpenEx
	001028e8		NuFileInitEx
	001029e0		NuFileInit
	00102ac8		NuFileGetCurrentPath
	00102b68		NuFileSetCurrentDirectory
	00102bd0		NuFileOpenSize
	00102c10		NuFileClose
	00102cd0		NuFileStatus
	00102d28		NuFilePos
	00102e10		NuFileReadFloat
	00102e38		NuFileReadInt
	00102e60		NuFileReadUnsignedInt
	00102e88		NuFileReadShort
	00102eb0		NuFileReadChar
	00102ed8		NuFileWrite
	00102ef8		NuFileWriteFloat
	00102f20		NuFileWriteInt
	00102f48		NuFileWriteUnsignedInt
	00102f70		NuFileWriteShort
	00102f98		NuFileWriteChar
	00102fc0		NuFileWriteString
	103008			NuFileGetBlkSize
	103028			NuFileAppendPath
	103090			NuFileExtractPath
	103100			NuFileExtractFilename
	103158			NuFileExtractFile
	001031e8		NuFileExtractExt
	00103240		NuFileInitAddress
	001032d8		NuFileTidyAddress
	103328			NuFilePatchAddress
	103420			NuMemFileOpen
	103488			NuMemFileClose
	001034d0		NuMemFilePos
	103520			NuMemFileAddr
	103540			NuMemFileRead
	001035e0		NuMemFileSeek
	001036c8		NuDatFilePos
	103718			NuDatFileRead
	103750			NuDatFileSeek
	103800			NuDatFileOpenSize
	103820			NuDatFileClose
	103850			NuDatOpen
	103870			NuDatSet
	103878			NuDatFileFindTree
	103968			NuFParGetLine
	00103c90		NuFParGetInt
	00103d98		NuFParGetFloat
	00103eb0		NuFParGetPos
	00103ee0		NuFParSetPos
	00103f20		NuFParPushCom
	00103f50		NuFParPopCom
	00103f68		NuFParInterpretWord
	00104038		NuFParUnGetWord
	00104048		NuFParGetWord
	00104130		NuFParClose
	00104158		NuFParOpen
	001041d0		NuFParDestroy
	00104210		NuFParCreate
	001042a8		NuGetChar
	00104350		NuErrorFunction
	00104420		NuWarningFunction
	001044f8		NuDebugMsgFunction
	00104690		NuErrorProlog
	001046e0		NuWarningProlog
	00104730		NuDebugMsgProlog
	00104780		NuAssertMsg
	001047b8		NuMemAlloc
	00104948		NuMemReAlloc
	00104a68		NuMemAllocFn
	00104cf8		NuMemReAllocFn
	00104f68		NuMemFreeFn
	00105108		NuMemValidateFn
	001051a0		NuMemDumpFn
	00105258		NuMemFlushFn
	00105290		NuMemSetDiscardable
	001052a0		NuMemFlushDiscardable
	001052c0		NuMemCreateDiscardable
	00105328		NuMemDestroyDiscardable
	00105350		NuMemSetExternal
	00105380		NuMemFree
	001053a0		NuMemBlkCreateHigh
	00105488		NuMemBlkCreate
	00105550		NuMemBlkDestroy
